Country,GDP,AI_Score,Log_GDP,Expected_AI,Efficiency_Residual,Action
Afghanistan,413.757894705303,21.27,6.0252810073679735,19.031187349715985,2.2388126502840144,Hold
Angola,2916.13663284275,29.14,7.978014948286916,37.35667963653476,-8.216679636534757,Avoid
Albania,9730.86921906893,43.26,9.183058505112822,48.665448303453964,-5.405448303453966,Avoid
Andorra,46812.4261013102,46.25,10.753903961648133,63.40709625369926,-17.157096253699258,Avoid
United Arab Emirates,49850.6872175164,70.42,10.816787561002412,63.99722934392043,6.422770656079571,Invest
Argentina,14261.8465667948,57.72,9.565343178347431,52.25301068659824,5.466989313401761,Invest
Armenia,8159.08720967996,45.22,9.006887580142353,47.0121667892356,-1.7921667892356012,Hold
Antigua and Barbuda,21494.5474000727,39.41,9.975554572652534,56.10265225055125,-16.692652250551255,Avoid
Australia,65058.3773146674,73.89,11.083040258349369,66.49588604739341,7.394113952606588,Invest
Austria,56579.504175468,72.37,10.943402081569864,65.18544724265075,7.184552757349252,Invest
Azerbaijan,7133.02838048328,48.15,8.872491161028469,45.750919422024616,2.3990805779753828,Hold
Burundi,250.627253097255,20.87,5.523966787934659,14.32658849526348,6.543411504736522,Invest
Belgium,55291.4754541329,67.28,10.920374024708114,64.96933972817703,2.310660271822968,Hold
Benin,1394.17784721831,41.37,7.240060163683709,30.431320052267445,10.938679947732552,Invest
Burkina Faso,873.482589651003,27.5,6.772488197665115,26.043376422438293,1.4566235775617074,Hold
Bangladesh,2551.01773827307,46.04,7.844247671576308,36.10133647573763,9.938663524262367,Invest
Bulgaria,15853.208636704,58.64,9.671127196464631,53.24574408844774,5.394255911552257,Invest
Bahrain,29290.1284215098,56.13,10.285005824295261,59.00670712781557,-2.876707127815564,Hold
Bosnia and Herzegovina,8663.02326458629,36.49,9.066819047398054,47.57459550413531,-11.084595504135308,Avoid
Belarus,7896.75388295584,39.2,8.974207053120542,46.70547536890543,-7.505475368905429,Avoid
Belize,7424.75821321022,34.24,8.912575399263273,46.12709120006482,-11.887091200064816,Avoid
Brazil,10377.5897719195,63.7,9.24740393052042,49.26929994565162,14.430700054348385,Invest
Barbados,25583.878782727,40.13,10.149717697051528,57.737091497978916,-17.607091497978914,Avoid
Brunei Darussalam,32890.5491812019,48.1,10.40094063655668,60.09470097242022,-11.994700972420219,Avoid
Bhutan,3831.32535494609,36.88,8.250966067992525,39.918197892570085,-3.038197892570082,Hold
Botswana,7826.35376483298,38.84,8.965252005535175,46.6214364468511,-7.781436446851096,Avoid
Central African Republic,495.978897288721,19.74,6.206533380030961,20.73215586754698,-0.9921558675469804,Hold
Canada,54220.3285039875,77.07,10.90081118175779,64.78575162122496,12.284248378775033,Invest
Switzerland,100623.549627296,68.57,11.519141600975209,70.58849263505803,-2.0184926350580383,Hold
Chile,17067.0364799154,61.95,9.744904190869768,53.9381065826848,8.0118934173152,Invest
China,12951.1782397043,70.94,9.468942046749863,51.34833127456297,19.591668725437025,Invest
Cameroon,1720.47510154506,30.27,7.450355753493796,32.40484554299723,-2.1348455429972297,Hold
Colombia,7000.83660501046,57.85,8.853784935897595,45.575370271590934,12.274629728409067,Invest
Comoros,1560.27378476855,22.62,7.352616587901486,31.48760930940204,-8.867609309402038,Avoid
Cabo Verde,4794.90121917259,36.3,8.47530838630713,42.02354534299983,-5.723545342999834,Avoid
Costa Rica,16942.0268119375,49.12,9.737552607562401,53.86911542092333,-4.7491154209233315,Hold
Cyprus,36623.69140625,60.84,10.50845061615887,61.10363171340423,-0.2636317134042301,Hold
Czechia,31761.5944102491,65.17,10.366013115935042,59.766922570899574,5.403077429100428,Invest
Germany,54776.7668235491,75.26,10.911021419964431,64.88156991862922,10.37843008137078,Invest
Djibouti,3381.29779710722,29.95,8.126014878423078,38.74558957522493,-8.795589575224934,Avoid
Dominica,9912.96212766668,34.82,9.201598485554166,48.83943732543805,-14.019437325438048,Avoid
Denmark,68043.5466971243,73.91,11.127903171799169,66.91690345133205,6.99309654866795,Invest
Dominican Republic,10630.431743829,50.71,9.271476086111296,49.49520583706052,1.2147941629394836,Hold
Algeria,5370.477235078,35.99,8.58867205414596,43.087410202955276,-7.097410202955274,Avoid
Ecuador,6737.84748379638,40.84,8.815495788476774,45.21604457901916,-4.376044579019158,Hold
"Egypt, Arab Rep.",3456.78968456253,52.69,8.1480956005131,38.952806797125454,13.737193202874543,Invest
Spain,33493.2225409111,67.47,10.419098385133672,60.265102927607764,7.204897072392235,Invest
Estonia,30264.0064885057,70.86,10.317714380709674,59.31366159085072,11.546338409149278,Invest
Ethiopia,1055.81091592527,32.59,6.96206439134466,27.822460096993616,4.767539903006387,Hold
Finland,52834.2916752703,77.37,10.874915722430961,64.54273487930561,12.827265120694392,Invest
Fiji,5926.20586394763,41.57,8.687139466637046,44.01148069217883,-2.4414806921788283,Hold
France,44700.1384177544,76.07,10.707731877190923,62.97379289380131,13.096207106198683,Invest
Gabon,7802.82433276138,33.09,8.962241041081258,46.593179957464635,-13.503179957464631,Avoid
Georgia,8283.66960652261,41.27,9.022041338393533,47.154377703958396,-5.884377703958393,Avoid
Ghana,2383.90410483418,32.58,7.776494802893907,35.46550757635112,-2.8855075763511238,Hold
Guinea,1555.49375806861,27.44,7.349548303516146,31.458814899339778,-4.018814899339777,Hold
Equatorial Guinea,6677.793435386,28.04,8.806542887917676,45.13202580579949,-17.092025805799494,Avoid
Greece,23343.7103964562,57.95,10.058082864776438,56.87714156989458,1.0728584301054198,Hold
Grenada,11414.4781691181,34.63,9.342637843430836,50.1630255576836,-15.533025557683601,Avoid
Guatemala,5758.32760847852,35.76,8.658402365781193,43.74179647711794,-7.981796477117939,Avoid
Guyana,20473.7002190617,36.79,9.926896425341734,55.64601835662952,-18.85601835662952,Avoid
Honduras,3227.45762509776,32.63,8.07944999330781,38.30859996535781,-5.6785999653578045,Avoid
Croatia,22184.2279304842,49.34,10.007136861786837,56.39903722333376,-7.059037223333753,Avoid
Haiti,1705.75808460999,21.97,7.4417649153061625,32.32422455534199,-10.354224555341993,Avoid
Hungary,22230.6277875187,60.66,10.009226247113633,56.41864512479338,4.241354875206618,Hold
Indonesia,4876.30774512252,61.03,8.492143602867646,42.181535955423705,18.848464044576296,Invest
India,2530.12031278204,62.58,7.836022135050193,36.0241436728649,26.555856327135096,Invest
Iraq,5965.31835077761,33.4,8.69371770289459,44.0732143545444,-10.673214354544399,Avoid
Iceland,82138.7892973557,69.59,11.316165647900531,68.68365850249347,0.9063414975065314,Hold
Israel,52003.7200729997,65.46,10.859070534870089,64.39403522476215,1.0659647752378447,Hold
Italy,39277.0838783918,67.63,10.578396520364048,61.76004122273215,5.869958777267847,Invest
Jamaica,7542.40084275345,41.32,8.928295824477255,46.274620018490914,-4.954620018490914,Hold
Jordan,4466.08314208575,56.85,8.404267048905218,41.3568557068319,15.4931442931681,Invest
Japan,33836.1756271617,75.08,10.42928579395192,60.36070698190796,14.719293018092038,Invest
Kazakhstan,12879.4275257974,48.56,9.463386551915699,51.29619556083383,-2.7361955608338278,Hold
Kenya,1942.58802756191,40.19,7.571776397849223,33.54432134918351,6.645678650816485,Invest
Cambodia,2429.74853452838,31.88,7.795543047246606,35.64426641678924,-3.764266416789244,Hold
Kiribati,2177.70125812262,27.4,7.686025130688737,34.616492129112736,-7.216492129112737,Avoid
Kuwait,34075.849012909,49.86,10.436344172260469,60.42694655225615,-10.566946552256148,Avoid
Lebanon,3477.72489842684,47.62,8.15413359415124,39.00947053585862,8.61052946414138,Invest
Liberia,799.194470229642,22.24,6.683604308178327,25.20924280234766,-2.9692428023476616,Hold
Libya,6026.51518708812,25.31,8.70392421007635,44.16899763802986,-18.85899763802986,Avoid
Sri Lanka,3798.89016573011,41.89,8.242464241406196,39.838412237050456,2.051587762949545,Hold
Lesotho,916.282976983803,26.21,6.820325243804273,26.492304666925513,-0.28230466692551204,Hold
Lithuania,27786.0057829276,63.33,10.232287783832573,58.51197304057961,4.818026959420386,Hold
Latvia,22710.2637544197,60.3,10.030572249053284,56.61896734263501,3.6810326573649874,Hold
Morocco,3813.72607421875,43.34,8.246361962453351,39.874990521213526,3.4650094787864774,Hold
Madagascar,508.718427705591,28.47,6.231894676267143,20.97015973936025,7.4998402606397505,Invest
Maldives,12587.6126038651,31.71,9.440468482676188,51.081120228615355,-19.371120228615354,Avoid
Mexico,13860.9597809326,50.37,9.53683151860988,51.985442130710375,-1.6154421307103775,Hold
Marshall Islands,6793.24495895856,35.7,8.823684009038496,45.29288718906566,-9.592887189065657,Avoid
North Macedonia,8674.35846327485,45.4,9.0681266497202,47.58686673871909,-2.1868667387190897,Hold
Mali,1043.9533853528,27.45,6.9507701174005305,27.71646863255942,-0.26646863255941966,Hold
Malta,40905.8059585057,63.64,10.619027286931928,62.14134191287983,1.4986580871201696,Hold
Myanmar,1233.19666209269,30.91,7.1173649893043835,29.279883379506934,1.630116620493066,Hold
Montenegro,12259.8775034436,47.15,9.414087217877775,50.83354443016719,-3.6835444301671885,Hold
Mongolia,5838.63108083902,38.99,8.672251644379449,43.87176546204321,-4.881765462043205,Hold
Mozambique,622.000297682823,25.62,6.432940571328812,22.85688118258738,2.7631188174126216,Hold
Mauritania,2135.78187606359,27.09,7.666588076917935,34.43408449462071,-7.344084494620713,Avoid
Mauritius,11269.9684462139,53.27,9.329896807226344,50.04345690790553,3.2265430920944738,Hold
Malawi,633.214767978695,24.87,6.45080965050604,23.024574110831736,1.8454258891682649,Hold
Malaysia,11386.0395636528,68.71,9.340143284268104,50.13961528978292,18.570384710217077,Invest
Namibia,4187.60500396525,35.37,8.339884251392727,40.75265334495574,-5.382653344955742,Avoid
Niger,638.336080897887,24.71,6.458864917216047,23.10016901132957,1.6098309886704314,Hold
Nigeria,2138.76383719983,39.88,7.667983294945769,34.44717796151435,5.432822038485654,Invest
Nicaragua,2609.44492072931,29.77,7.866892803648334,36.31385042063513,-6.543850420635128,Avoid
Netherlands,63515.6030780019,74.47,11.059040872460928,66.270663065516,8.199336934483995,Invest
Norway,87497.2179649556,72.71,11.379362277154023,69.2767292315211,3.4332707684788915,Hold
