Country,GDP,AI_Score
Afghanistan,413.757894705303,21.27
Angola,2916.13663284275,29.14
Albania,9730.86921906893,43.26
Andorra,46812.4261013102,46.25
United Arab Emirates,49850.6872175164,70.42
Argentina,14261.8465667948,57.72
Armenia,8159.08720967996,45.22
Antigua and Barbuda,21494.5474000727,39.41
Australia,65058.3773146674,73.89
Austria,56579.504175468,72.37
Azerbaijan,7133.02838048328,48.15
Burundi,250.627253097255,20.87
Belgium,55291.4754541329,67.28
Benin,1394.17784721831,41.37
Burkina Faso,873.482589651003,27.5
Bangladesh,2551.01773827307,46.04
Bulgaria,15853.208636704,58.64
Bahrain,29290.1284215098,56.13
Bosnia and Herzegovina,8663.02326458629,36.49
Belarus,7896.75388295584,39.2
Belize,7424.75821321022,34.24
Brazil,10377.5897719195,63.7
Barbados,25583.878782727,40.13
Brunei Darussalam,32890.5491812019,48.1
Bhutan,3831.32535494609,36.88
Botswana,7826.35376483298,38.84
Central African Republic,495.978897288721,19.74
Canada,54220.3285039875,77.07
Switzerland,100623.549627296,68.57
Chile,17067.0364799154,61.95
China,12951.1782397043,70.94
Cameroon,1720.47510154506,30.27
Colombia,7000.83660501046,57.85
Comoros,1560.27378476855,22.62
Cabo Verde,4794.90121917259,36.3
Costa Rica,16942.0268119375,49.12
Cyprus,36623.69140625,60.84
Czechia,31761.5944102491,65.17
Germany,54776.7668235491,75.26
Djibouti,3381.29779710722,29.95
Dominica,9912.96212766668,34.82
Denmark,68043.5466971243,73.91
Dominican Republic,10630.431743829,50.71
Algeria,5370.477235078,35.99
Ecuador,6737.84748379638,40.84
"Egypt, Arab Rep.",3456.78968456253,52.69
Spain,33493.2225409111,67.47
Estonia,30264.0064885057,70.86
Ethiopia,1055.81091592527,32.59
Finland,52834.2916752703,77.37
Fiji,5926.20586394763,41.57
France,44700.1384177544,76.07
Gabon,7802.82433276138,33.09
United Kingdom,49944.4702124201,78.57
Georgia,8283.66960652261,41.27
Ghana,2383.90410483418,32.58
Guinea,1555.49375806861,27.44
Equatorial Guinea,6677.793435386,28.04
Greece,23343.7103964562,57.95
Grenada,11414.4781691181,34.63
Guatemala,5758.32760847852,35.76
Guyana,20473.7002190617,36.79
Honduras,3227.45762509776,32.63
Croatia,22184.2279304842,49.34
Haiti,1705.75808460999,21.97
Hungary,22230.6277875187,60.66
Indonesia,4876.30774512252,61.03
India,2530.12031278204,62.58
Ireland,106818.917130804,69.82
Iraq,5965.31835077761,33.4
Iceland,82138.7892973557,69.59
Israel,52003.7200729997,65.46
Italy,39277.0838783918,67.63
Jamaica,7542.40084275345,41.32
Jordan,4466.08314208575,56.85
Japan,33836.1756271617,75.08
Kazakhstan,12879.4275257974,48.56
Kenya,1942.58802756191,40.19
Cambodia,2429.74853452838,31.88
Kiribati,2177.70125812262,27.4
"Korea, Rep.",35674.095995632,75.65
Kuwait,34075.849012909,49.86
Lebanon,3477.72489842684,47.62
Liberia,799.194470229642,22.24
Libya,6026.51518708812,25.31
Liechtenstein,206780.590353385,52.63
Sri Lanka,3798.89016573011,41.89
Lesotho,916.282976983803,26.21
Lithuania,27786.0057829276,63.33
Luxembourg,133230.619178899,69.41
Latvia,22710.2637544197,60.3
Morocco,3813.72607421875,43.34
Monaco,256799.788612806,50.5
Madagascar,508.718427705591,28.47
Maldives,12587.6126038651,31.71
Mexico,13860.9597809326,50.37
Marshall Islands,6793.24495895856,35.7
North Macedonia,8674.35846327485,45.4
Mali,1043.9533853528,27.45
Malta,40905.8059585057,63.64
Myanmar,1233.19666209269,30.91
Montenegro,12259.8775034436,47.15
Mongolia,5838.63108083902,38.99
Mozambique,622.000297682823,25.62
Mauritania,2135.78187606359,27.09
Mauritius,11269.9684462139,53.27
Malawi,633.214767978695,24.87
Malaysia,11386.0395636528,68.71
Namibia,4187.60500396525,35.37
Niger,638.336080897887,24.71
Nigeria,2138.76383719983,39.88
Nicaragua,2609.44492072931,29.77
Netherlands,63515.6030780019,74.47
Norway,87497.2179649556,72.71
Nepal,1382.33055769304,30.77
Nauru,12752.4723855838,46.75
New Zealand,49075.9562832927,60.18
Oman,21027.7384778886,58.94
Pakistan,1360.32417758419,42.2
Panama,18797.1933994045,43.91
Peru,7887.54185920108,54.87
Philippines,3804.08274131097,51.98
Papua New Guinea,2966.06830432055,30.41
Poland,22145.2660647429,63.1
Portugal,27634.6183139773,68.28
Paraguay,6299.99026533713,36.85
Qatar,81816.9797967481,63.59
Romania,18244.4186876321,52.32
Russian Federation,14159.3876953125,62.92
Rwanda,1027.03446826565,45.39
Saudi Arabia,36156.848337701,67.04
Sudan,797.283447265625,24.51
Senegal,1698.03387300843,42.58
Singapore,85412.230345235,81.97
Solomon Islands,1882.64394148042,29.09
Sierra Leone,758.329137378248,24.83
El Salvador,5365.44491399171,32.58
San Marino,59879.7173015651,48.08
Serbia,12281.707946167,55.57
Sao Tome and Principe,2990.6606143535,26.86
Suriname,5521.97602122638,35.52
Slovak Republic,24614.8734642794,60.73
Slovenia,32660.4753581346,62.63
Sweden,54950.2834725622,72.55
Eswatini,3755.52111232464,27.05
Seychelles,18262.7115849287,38.11
Chad,949.333453674592,23.44
Togo,1055.01727877926,29.69
Thailand,7195.10130919449,63.03
Tajikistan,1178.47990060249,38.78
Turkmenistan,6231.91323839698,31.17
Timor-Leste,1502.41147438211,29.77
Tonga,5651.59373063157,39.01
Trinidad and Tobago,18308.4536298575,39.44
Tunisia,3951.11683376921,46.07
Tuvalu,6344.7750188689,37.45
Uganda,1002.30913917142,33.44
Ukraine,5139.59814453125,53.29
Uruguay,23019.4221560046,60.57
Uzbekistan,2878.96879292451,43.79
Vanuatu,3482.61458237637,31.91
Samoa,4822.74084650019,31.66
South Africa,6034.27208964673,47.28
