Country,GDP_Per_Capita,AI_Score,Labor_Cost_Norm,AI_Score_Norm,Income_Group,Efficiency_Index,Strategy_Label
Afghanistan,413.757894705303,21.27,0.0016112080813631552,0.2594851775039649,Low Income,0.2578739694226017,0
Angola,2916.13663284275,29.14,0.01135568159380225,0.3554959131389533,Lower-Mid,0.34414023154515105,0
Albania,9730.86921906893,43.26,0.037892824100960634,0.5277540563620837,Upper-Mid,0.4898612322611231,0
Andorra,46812.4261013102,46.25,0.1822915289540693,0.5642308161522508,High Income,0.3819392871981815,0
United Arab Emirates,49850.6872175164,70.42,0.19412277356925545,0.8590947907771136,High Income,0.6649720172078581,0
Argentina,14261.8465667948,57.72,0.05553683141187599,0.704160058558009,Upper-Mid,0.648623227146133,0
Armenia,8159.08720967996,45.22,0.03177217260868526,0.5516652433817251,Upper-Mid,0.5198930707730398,0
Antigua and Barbuda,21494.5474000727,39.41,0.08370157746695597,0.48078565328778816,Upper-Mid,0.39708407582083216,0
Australia,65058.3773146674,73.89,0.2533427993305719,0.90142735147005,High Income,0.6480845521394781,0
Austria,56579.504175468,72.37,0.2203253533856161,0.8828839819446139,High Income,0.6625586285589978,0
Azerbaijan,7133.02838048328,48.15,0.027776613131244503,0.587410028059046,Lower-Mid,0.5596334149278015,0
Burundi,250.627253097255,20.87,0.0009759636269605433,0.2546053434183238,Low Income,0.25362937979136324,0
Belgium,55291.4754541329,67.28,0.21530966108971183,0.820788093204831,High Income,0.6054784321151192,0
Benin,1394.17784721831,41.37,0.005429045930097723,0.5046968403074296,Low Income,0.4992677943773318,0
Burkina Faso,873.482589651003,27.5,0.003401414753374312,0.33548859338782483,Low Income,0.33208717863445053,0
Bangladesh,2551.01773827307,46.04,0.009933877874484576,0.5616689032572892,Low Income,0.5517350253828046,0
Bulgaria,15853.208636704,58.64,0.061733729308503946,0.7153836769549835,Upper-Mid,0.6536499476464795,0
Bahrain,29290.1284215098,56.13,0.11405822637055382,0.6847627180675857,High Income,0.5707044916970319,0
Bosnia and Herzegovina,8663.02326458629,36.49,0.03373454203908284,0.4451628644626083,Upper-Mid,0.41142832242352545,0
Belarus,7896.75388295584,39.2,0.030750624545342976,0.47822374039282667,Upper-Mid,0.44747311584748367,0
Belize,7424.75821321022,34.24,0.028912633664216203,0.4177137977308772,Upper-Mid,0.388801164066661,0
Brazil,10377.5897719195,63.7,0.04041120838914115,0.7771135781383434,Upper-Mid,0.7367023697492022,0
Barbados,25583.878782727,40.13,0.0996257782022613,0.48956935464194223,High Income,0.3899435764396809,0
Brunei Darussalam,32890.5491812019,48.1,0.12807856797262848,0.5868000487983409,High Income,0.4587214808257124,0
Bhutan,3831.32535494609,36.88,0.014919503538699684,0.44992070269610834,Lower-Mid,0.43500119915740865,0
Botswana,7826.35376483298,38.84,0.030476480557518257,0.4738318897157497,Upper-Mid,0.4433554091582314,0
Central African Republic,495.978897288721,19.74,0.001931383588623358,0.2408198121263877,Low Income,0.23888842853776435,0
Canada,54220.3285039875,77.07,0.2111385246727717,0.9402220324508966,High Income,0.7290835077781249,0
Switzerland,100623.549627296,68.57,0.3918365749864879,0.8365255581310235,High Income,0.4446889831445356,0
Chile,17067.0364799154,61.95,0.06646047713710738,0.7557643040136636,Upper-Mid,0.6893038268765562,0
China,12951.1782397043,70.94,0.050432978584852524,0.865438575088447,Upper-Mid,0.8150055965035945,0
Cameroon,1720.47510154506,30.27,0.006699674913436685,0.36928144443088934,Low Income,0.36258176951745263,0
Colombia,7000.83660501046,57.85,0.027261847226697226,0.7057460046358424,Lower-Mid,0.6784841574091451,0
Comoros,1560.27378476855,22.62,0.006075837496584071,0.27595461754300354,Low Income,0.26987878004641946,0
Cabo Verde,4794.90121917259,36.3,0.018671749089335034,0.44284494327192875,Lower-Mid,0.4241731941825937,0
Costa Rica,16942.0268119375,49.12,0.06597367896389554,0.5992436257167256,Upper-Mid,0.5332699467528301,0
Cyprus,36623.69140625,60.84,0.14261573813625664,0.7422227644260095,High Income,0.5996070262897529,0
Czechia,31761.5944102491,65.17,0.12368232303391088,0.7950469684030743,High Income,0.6713646453691634,0
Germany,54776.7668235491,75.26,0.21330534234255016,0.9181407832133708,High Income,0.7048354408708206,0
Djibouti,3381.29779710722,29.95,0.013167058335104107,0.36537757716237645,Lower-Mid,0.35221051882727233,0
Dominica,9912.96212766668,34.82,0.03860190921968829,0.42478955715505673,Upper-Mid,0.3861876479353684,0
Denmark,68043.5466971243,73.91,0.2649673002640904,0.9016713431743321,High Income,0.6367040429102417,0
Dominican Republic,10630.431743829,50.71,0.04139579631764107,0.6186409662071489,Upper-Mid,0.5772451698895078,0
Algeria,5370.477235078,35.99,0.020913090560115,0.43906307185555693,Lower-Mid,0.41814998129544195,0
Ecuador,6737.84748379638,40.84,0.026237745444391614,0.49823106014395513,Lower-Mid,0.4719933146995635,0
"Egypt, Arab Rep.",3456.78968456253,52.69,0.013461030101448253,0.6427961449310723,Lower-Mid,0.629335114829624,0
Spain,33493.2225409111,67.47,0.13042542878184002,0.8231060143955106,High Income,0.6926805856136705,0
Estonia,30264.0064885057,70.86,0.11785058956624275,0.8644626082713188,High Income,0.7466120187050761,0
Ethiopia,1055.81091592527,32.59,0.0041114166083570484,0.3975844821276077,Low Income,0.39347306551925065,0
Finland,52834.2916752703,77.37,0.2057411805542101,0.9438819080151275,High Income,0.7381407274609174,0
Fiji,5926.20586394763,41.57,0.02307714463458131,0.5071367573502501,Lower-Mid,0.4840596127156688,0
France,44700.1384177544,76.07,0.17406610285474866,0.9280224472367938,High Income,0.7539563443820452,0
Gabon,7802.82433276138,33.09,0.03038485496779833,0.40368427473465907,Upper-Mid,0.37329941976686076,0
