,,,Pillars,,,,Dimensions,,,,,,,,,
Country,Total score,,Government,Technology Sector,Data and Infrastructure,,Vision,Governance and Ethics,Digital Capacity,Adaptability,Maturity,Innovation Capacity,Human Capital,Infrastructure,Data Availability,Data Representativeness
Afghanistan,21.27,,13.99,21.71,28.11,,0.00,8.96,34.60,12.40,6.67,51.61,6.84,39.56,25.52,19.26
Albania,43.26,,42.53,31.97,55.28,,0.00,54.06,61.65,54.40,17.95,35.84,42.13,24.89,67.44,73.53
Algeria,35.99,,30.10,30.56,47.30,,0.00,38.55,45.10,36.74,11.29,42.41,37.99,27.82,49.59,64.51
Andorra,46.25,,38.82,35.04,64.90,,0.00,55.28,38.85,61.14,37.88,47.76,19.49,41.33,65.51,87.87
Angola,29.14,,22.55,18.51,46.37,,0.00,36.96,33.03,20.21,10.43,23.16,21.93,33.97,33.27,71.86
Antigua and Barbuda,39.41,,33.33,27.56,57.34,,0.00,47.16,41.91,44.24,25.66,27.00,30.03,31.90,56.99,83.13
Argentina,57.72,,70.31,35.27,67.59,,100.00,69.38,63.78,48.08,25.46,36.81,43.54,55.06,75.75,71.96
Armenia,45.22,,43.50,33.58,58.57,,0.00,50.37,66.48,57.13,23.72,36.75,40.27,52.37,54.46,68.88
Australia,73.89,,83.34,52.57,85.75,,100.00,92.33,76.20,64.84,35.46,57.81,64.44,71.33,87.91,98.02
Austria,72.37,,77.69,56.43,82.98,,100.00,69.54,77.05,64.19,45.57,63.19,60.52,65.37,85.06,98.50
Azerbaijan,48.15,,55.86,30.77,57.82,,50.00,51.70,66.55,55.20,14.27,42.82,35.23,55.04,49.37,69.05
Bahamas,42.14,,34.49,31.43,60.51,,0.00,45.55,51.65,40.77,26.08,27.00,41.20,35.89,56.09,89.53
Bahrain,56.13,,57.96,39.24,71.19,,50.00,53.77,73.38,54.71,30.03,42.64,45.06,57.41,73.49,82.66
Bangladesh,46.04,,57.96,26.07,54.10,,100.00,29.53,63.92,38.38,11.35,41.81,25.05,41.63,58.03,62.66
Barbados,40.13,,33.53,32.87,54.00,,0.00,39.82,43.10,51.20,26.86,29.06,42.69,34.58,54.76,72.67
Belarus,39.20,,30.95,32.28,54.38,,0.00,38.27,48.45,37.08,21.88,35.11,39.84,33.73,62.31,67.12
Belgium,67.28,,73.09,56.02,72.74,,100.00,69.41,64.87,58.10,46.03,64.59,57.44,61.92,70.67,85.64
Belize,34.24,,23.44,29.09,50.19,,0.00,22.42,36.26,35.10,21.75,28.27,37.25,23.68,52.77,74.13
Benin,41.37,,61.38,24.46,38.27,,100.00,53.21,50.10,42.21,8.86,34.06,30.46,18.03,31.69,65.10
Bhutan,36.88,,36.81,24.31,49.52,,0.00,42.79,59.47,44.98,15.33,28.41,29.18,25.78,61.51,61.28
Bolivia (Plurinational State of),35.25,,28.47,26.66,50.63,,0.00,37.59,41.46,34.82,16.34,29.51,34.12,24.11,61.83,65.95
Bosnia and Herzegovina,36.49,,27.92,31.68,49.86,,0.00,43.93,33.30,34.46,19.13,33.74,42.17,28.35,50.78,70.47
Botswana,38.84,,34.82,29.20,52.50,,0.00,54.89,37.47,46.92,17.19,37.95,32.46,45.59,45.59,66.32
Brazil,63.70,,72.44,45.08,73.57,,100.00,69.28,72.03,48.47,34.01,49.71,51.52,62.37,71.01,87.33
Brunei Darussalam,48.10,,39.57,41.86,62.87,,0.00,32.21,61.41,64.64,30.31,41.44,53.82,46.08,61.95,80.59
Bulgaria,58.64,,66.04,38.17,71.73,,100.00,55.92,62.25,46.01,26.54,47.17,40.79,61.19,75.99,78.00
Burkina Faso,27.50,,27.04,18.20,37.26,,0.00,43.60,37.93,26.62,7.56,30.28,16.75,14.33,43.88,53.56
Burundi,20.87,,18.44,16.21,27.96,,0.00,10.99,32.12,30.67,4.66,30.09,13.89,13.33,25.91,44.64
