"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UK,UK,United Kingdom,"10,596","10,814","11,298","11,889","12,353","12,643","13,022","13,556","14,038","14,618","15,297","15,695","15,963","16,111","16,270","16,870","17,506","18,061","19,004","19,228","19,677","20,407","21,016","20,978","21,729","22,907","24,836"
Other,TLB,England,"10,854","11,088","11,592","12,188","12,653","12,920","13,296","13,827","14,322","14,909","15,619","15,994","16,287","16,423","16,560","17,192","17,852","18,426","19,449","19,684","20,139","20,914","21,519","21,457","22,224","23,432","25,425"
ITL1,TLC,North East,"9,072","9,136","9,484","9,972","10,437","10,626","10,951","11,453","11,692","12,109","12,415","12,715","13,276","13,498","13,634","14,217","14,556","14,953","15,509","15,711","16,027","16,435","16,997","17,211","17,658","18,419","19,977"
ITL2,TLC3,Tees Valley,"8,978","8,802","9,245","9,713","10,242","10,411","10,665","11,147","11,540","11,941","12,228","12,494","13,075","13,194","13,418","13,979","14,228","14,704","15,113","15,312","15,634","16,041","16,638","16,916","17,270","18,018","19,480"
ITL3,TLC31,Hartlepool and Stockton-on-Tees,"9,065","9,003","9,465","9,835","10,300","10,625","10,875","11,423","11,907","12,315","12,603","12,938","13,437","13,577","13,940","14,332","14,506","14,936","15,303","15,513","15,801","16,123","16,841","17,137","17,640","18,408","19,992"
ITL3,TLC32,South Teesside,"8,750","8,435","8,944","9,412","9,868","9,952","10,198","10,646","11,010","11,442","11,628","11,904","12,571","12,687","12,890","13,653","13,882","14,452","14,818","14,878","15,098","15,572","16,047","16,233","16,471","17,202","18,518"
ITL3,TLC33,Darlington,"9,398","9,310","9,505","10,242","11,150","11,114","11,392","11,780","11,992","12,268","12,819","12,854","13,418","13,485","13,382","13,871","14,372","14,728","15,365","15,893","16,576","17,037","17,636","18,101","18,348","19,099","20,631"
ITL2,TLC4,"Northumberland, Durham and Tyne & Wear","9,104","9,250","9,566","10,061","10,505","10,701","11,049","11,559","11,744","12,167","12,480","12,791","13,345","13,602","13,708","14,299","14,668","15,039","15,646","15,849","16,162","16,571","17,120","17,312","17,792","18,558","20,149"
ITL3,TLC41,Durham,"9,026","9,199","9,566","10,021","10,451","10,574","10,860","11,382","11,597","11,940","12,186","12,429","12,853","13,217","13,315","13,804","14,209","14,659","15,258","15,401","15,722","16,182","16,612","16,839","17,240","17,945","19,439"
ITL3,TLC42,Northumberland,"10,060","10,156","10,691","11,271","11,746","12,006","12,430","12,912","13,181","13,945","14,221","15,079","16,007","15,985","16,021","16,581","17,144","17,518","18,193","18,507","18,822","19,248","19,808","19,919","20,332","21,164","23,192"
ITL3,TLC43,Tyneside,"9,057","9,270","9,436","9,896","10,373","10,562","10,941","11,505","11,555","11,919","12,256","12,436","12,965","13,249","13,346","14,005","14,285","14,655","15,317","15,421","15,716","16,159","16,804","17,000","17,506","18,326","19,892"
